validation_subjects,train_accuracies,validation_accuracy
['p026' 'p050' 'p002'],0.6679999828338623,0.2849999964237213
['p052' 'p039' 'p024'],0.2460000067949295,0.2939999997615814
['p049' 'p064' 'p042'],0.6290000081062317,0.4410000145435333
['p051' 'p066' 'p014'],0.14399999380111694,0.1379999965429306
['p021' 'p045' 'p056'],0.20200000703334808,0.18700000643730164
['p042' 'p050' 'p049'],0.6340000033378601,0.46000000834465027
['p002' 'p049' 'p045'],0.1979999989271164,0.2409999966621399
['p061' 'p012' 'p041'],0.6430000066757202,0.5210000276565552
['p026' 'p049' 'p015'],0.17800000309944153,0.1940000057220459
['p052' 'p045' 'p051'],0.10700000077486038,0.20000000298023224
['p045' 'p021' 'p016'],0.7440000176429749,0.5879999995231628
['p022' 'p064' 'p035'],0.11299999803304672,0.10499999672174454
['p021' 'p061' 'p042'],0.11999999731779099,0.13199999928474426
['p026' 'p075' 'p051'],0.16699999570846558,0.1509999930858612
['p024' 'p049' 'p052'],0.6579999923706055,0.5929999947547913
['p045' 'p075' 'p049'],0.1599999964237213,0.18400000035762787
['p016' 'p039' 'p075'],0.16599999368190765,0.16200000047683716
['p052' 'p075' 'p072'],0.14300000667572021,0.1459999978542328
['p075' 'p049' 'p015'],0.6830000281333923,0.37599998712539673
['p026' 'p024' 'p012'],0.1720000058412552,0.12999999523162842
['p045' 'p021' 'p051'],0.18199999630451202,0.2549999952316284
['p081' 'p026' 'p015'],0.5730000138282776,0.35199999809265137
['p056' 'p021' 'p081'],0.11900000274181366,0.12600000202655792
['p012' 'p081' 'p064'],0.1679999977350235,0.14499999582767487
['p024' 'p002' 'p050'],0.15600000321865082,0.10999999940395355
['p075' 'p072' 'p002'],0.515999972820282,0.21799999475479126
['p024' 'p045' 'p051'],0.8130000233650208,0.6940000057220459
['p049' 'p035' 'p022'],0.12099999934434891,0.12700000405311584
['p052' 'p064' 'p066'],0.11400000005960464,0.1420000046491623
['p035' 'p081' 'p075'],0.3059999942779541,0.2590000033378601
