validation_subjects,train_accuracies,validation_accuracy
['p026' 'p050' 'p002'],0.8820000290870667,0.45399999618530273
['p052' 'p039' 'p024'],0.7490000128746033,0.6499999761581421
['p049' 'p064' 'p042'],0.8600000143051147,0.7200000286102295
['p051' 'p066' 'p014'],0.9319999814033508,0.6100000143051147
['p021' 'p045' 'p056'],0.9240000247955322,0.6389999985694885
['p042' 'p050' 'p049'],0.8730000257492065,0.5389999747276306
['p002' 'p049' 'p045'],0.7239999771118164,0.6129999756813049
['p061' 'p012' 'p041'],0.9390000104904175,0.6570000052452087
['p026' 'p049' 'p015'],0.8460000157356262,0.6520000100135803
['p052' 'p045' 'p051'],0.6520000100135803,0.734000027179718
['p045' 'p021' 'p016'],0.8029999732971191,0.718999981880188
['p022' 'p064' 'p035'],0.7990000247955322,0.5130000114440918
['p021' 'p061' 'p042'],0.9039999842643738,0.7310000061988831
