,subject,classname,img,imgpath,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,p050,c9,img_37057.jpg,imgs/train/c9/img_37057.jpg,0.038092192,0.0473784,0.055673774,0.003526639,0.011132138,0.032342102,0.036964636,0.0021937354,0.72960585,0.04309057
1,p056,c1,img_70214.jpg,imgs/train/c1/img_70214.jpg,0.0018135536,0.66588545,0.04620136,0.011586565,0.0016516609,0.0022665747,0.14719787,0.049997993,0.066738665,0.006660312
2,p050,c7,img_89317.jpg,imgs/train/c7/img_89317.jpg,0.004417874,0.058345728,0.3219701,0.0045803445,0.0011337581,0.0017840328,0.017167822,0.5222773,0.04307518,0.025247857
3,p041,c1,img_9714.jpg,imgs/train/c1/img_9714.jpg,0.021930596,0.579883,0.051502325,0.050976947,0.004997988,0.06422448,0.03702833,0.0030077905,0.048320133,0.1381284
4,p016,c2,img_46158.jpg,imgs/train/c2/img_46158.jpg,0.003152156,0.32936293,0.13642131,0.014852311,0.01273381,0.014435656,0.12124758,0.18295436,0.08255519,0.102284655
5,p050,c9,img_5335.jpg,imgs/train/c9/img_5335.jpg,0.01938249,0.12243278,0.058954593,0.010982021,0.008563289,0.038819626,0.08520039,0.0042097205,0.63520944,0.016245635
6,p056,c3,img_13910.jpg,imgs/train/c3/img_13910.jpg,0.24102671,0.059163254,0.033059034,0.37570867,0.033720013,0.039596435,0.048159245,0.012457843,0.106447235,0.050661556
7,p056,c2,img_4565.jpg,imgs/train/c2/img_4565.jpg,0.001945885,0.0814429,0.39502418,0.0015900901,0.0010572008,0.0032979546,0.09103248,0.071170084,0.3396317,0.013807468
8,p016,c1,img_75830.jpg,imgs/train/c1/img_75830.jpg,0.001555942,0.8637148,0.003403678,0.0024929794,0.00029133557,0.0018849185,0.07309141,0.032841478,0.007993326,0.012730077
9,p016,c2,img_19501.jpg,imgs/train/c2/img_19501.jpg,0.00060337683,0.56569606,0.08317208,0.007544034,0.0029297126,0.008711945,0.18609232,0.08914486,0.039270718,0.016834939
10,p041,c8,img_26709.jpg,imgs/train/c8/img_26709.jpg,0.0108896885,0.0072328285,0.35423,0.0020963012,0.0059922473,0.04882609,0.012721159,0.020490337,0.48328245,0.054239012
11,p016,c2,img_85095.jpg,imgs/train/c2/img_85095.jpg,0.00034907443,0.4855118,0.09483227,0.007025812,0.004041948,0.004467522,0.25678667,0.08060245,0.05007765,0.016304785
12,p016,c9,img_7533.jpg,imgs/train/c9/img_7533.jpg,0.0019928627,0.04833331,0.020040998,0.019052377,0.003434282,0.0005522995,0.005467388,0.35872453,0.027113175,0.5152888
13,p041,c5,img_55437.jpg,imgs/train/c5/img_55437.jpg,0.033120338,0.0022409752,0.013233185,0.047618147,0.022433925,0.8398102,0.0027504568,0.00042454875,0.0151088005,0.023259355
14,p056,c2,img_27071.jpg,imgs/train/c2/img_27071.jpg,0.009330224,0.06427664,0.36499354,0.0038533465,0.002873929,0.006700855,0.26378152,0.093432665,0.17305706,0.017700179
15,p016,c0,img_83391.jpg,imgs/train/c0/img_83391.jpg,0.38008702,0.019516801,0.0010085263,0.043595564,0.004998437,0.010312447,0.0003750628,0.00689437,0.013177071,0.5200346
16,p041,c4,img_22041.jpg,imgs/train/c4/img_22041.jpg,0.004981493,0.0006156707,0.013408889,0.14621562,0.8103015,0.009588696,0.0042738426,0.0009037333,0.004280226,0.0054302583
17,p016,c2,img_2810.jpg,imgs/train/c2/img_2810.jpg,0.0013202806,0.46501368,0.09071429,0.015849104,0.008016385,0.004741301,0.1200456,0.21224529,0.04329341,0.038760677
18,p050,c8,img_83809.jpg,imgs/train/c8/img_83809.jpg,0.053094223,0.010281717,0.010706575,0.0066855587,0.0032228755,0.106508285,0.020184293,0.004251004,0.7705353,0.014530206
19,p041,c3,img_85118.jpg,imgs/train/c3/img_85118.jpg,0.015640564,0.0021848183,0.0024099606,0.86312246,0.07637377,0.014934333,0.00069485675,0.00022217474,0.005910678,0.01850638
20,p016,c7,img_98101.jpg,imgs/train/c7/img_98101.jpg,0.00043243106,0.0076277987,0.008558087,0.00021776155,0.00021094744,0.0015836894,0.0038544002,0.95452064,0.004424506,0.018569706
21,p041,c8,img_75090.jpg,imgs/train/c8/img_75090.jpg,0.015114204,0.0027342378,0.25397745,0.08655306,0.07628443,0.04173551,0.015598256,0.01015585,0.46060717,0.037239816
22,p050,c5,img_47275.jpg,imgs/train/c5/img_47275.jpg,0.052033912,0.06832704,0.38549244,0.012664515,0.014606199,0.20561653,0.04633341,0.009559078,0.12523602,0.080130875
23,p056,c6,img_24338.jpg,imgs/train/c6/img_24338.jpg,0.00029796475,0.3520504,0.022379955,0.001275157,0.00014061262,0.0004297304,0.5704218,0.043681215,0.008414536,0.0009086172
24,p056,c5,img_81599.jpg,imgs/train/c5/img_81599.jpg,0.011189633,0.034213096,0.042293962,0.006704765,0.002739086,0.8378655,0.010493824,0.006205484,0.030910779,0.017383976
25,p056,c3,img_69197.jpg,imgs/train/c3/img_69197.jpg,0.023579841,0.031190356,0.006974442,0.7979326,0.07783417,0.0075448095,0.023271669,0.0043808366,0.016338704,0.010952541
26,p016,c3,img_20573.jpg,imgs/train/c3/img_20573.jpg,0.0024759774,0.0004607444,9.166627e-05,0.9181835,0.06983924,0.00082364597,0.0012124078,0.00031794788,0.0051920824,0.0014028652
27,p016,c6,img_81036.jpg,imgs/train/c6/img_81036.jpg,8.687408e-05,0.13845888,0.0046053506,0.019671835,0.00641224,0.00067676645,0.8045106,0.01211307,0.012375732,0.0010885363
28,p050,c7,img_33906.jpg,imgs/train/c7/img_33906.jpg,0.002463208,0.062094018,0.55078197,0.0025889024,0.0015079981,0.0024508464,0.030238854,0.24569947,0.085699685,0.016475067
29,p041,c7,img_75299.jpg,imgs/train/c7/img_75299.jpg,0.004930389,0.014139281,0.55836916,0.0016506516,0.0022549678,0.008671679,0.01402754,0.3127765,0.05042308,0.03275676
30,p050,c2,img_47023.jpg,imgs/train/c2/img_47023.jpg,0.07465103,0.05668415,0.2943541,0.024075255,0.033959758,0.24792904,0.06458377,0.013307473,0.14441332,0.04604208
31,p016,c6,img_71864.jpg,imgs/train/c6/img_71864.jpg,0.00010678057,0.06595636,0.006150088,0.014728968,0.0067902836,0.0005266734,0.8709958,0.009211317,0.024162393,0.0013712444
32,p041,c3,img_97170.jpg,imgs/train/c3/img_97170.jpg,0.009836849,0.002549704,0.004106602,0.8408573,0.1130652,0.011283587,0.0032286404,0.00034261378,0.0065799537,0.008149553
33,p056,c8,img_93848.jpg,imgs/train/c8/img_93848.jpg,0.0026787892,0.04876195,0.22999552,0.025352154,0.008291151,0.0053759683,0.23588674,0.22412114,0.21628287,0.003253697
34,p050,c5,img_19071.jpg,imgs/train/c5/img_19071.jpg,0.04392042,0.024489498,0.0448971,0.03085904,0.016875165,0.72063565,0.020930156,0.0032085904,0.03912017,0.055064216
35,p016,c4,img_67218.jpg,imgs/train/c4/img_67218.jpg,0.0024535165,0.008897224,0.0022649374,0.2672525,0.5889302,0.01439864,0.09350796,0.00069208106,0.018723844,0.0028791262
36,p050,c7,img_1010.jpg,imgs/train/c7/img_1010.jpg,0.00271254,0.02923235,0.41389614,0.005691815,0.01307623,0.0016488793,0.16328257,0.26669058,0.09912409,0.0046448023
37,p041,c8,img_41461.jpg,imgs/train/c8/img_41461.jpg,0.013345507,0.004186674,0.26256058,0.042298626,0.03124528,0.0490707,0.015273125,0.015475001,0.5290535,0.03749099
