,subject,classname,img,imgpath,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,p050,c9,img_37057.jpg,imgs/train/c9/img_37057.jpg,0.9067677,0.0007444206,7.2081224e-05,0.0028968232,0.00030173632,0.005443899,4.67867e-05,0.0014552389,0.055512678,0.026758477
1,p056,c1,img_70214.jpg,imgs/train/c1/img_70214.jpg,0.00044822058,0.9986877,1.7316745e-07,0.00012249089,1.8625386e-06,1.5084867e-06,7.495763e-05,4.6314086e-05,0.00015719338,0.00045959762
2,p050,c7,img_89317.jpg,imgs/train/c7/img_89317.jpg,0.41231853,0.012335487,0.034318987,0.03826816,0.0014299891,0.15105073,0.0005680471,0.18529813,0.018995669,0.1454163
3,p041,c1,img_9714.jpg,imgs/train/c1/img_9714.jpg,0.07648661,0.7888713,3.5765926e-05,1.2710044e-05,0.0040322044,1.1120766e-05,0.0009147306,0.0005856858,0.008435709,0.120614275
4,p016,c2,img_46158.jpg,imgs/train/c2/img_46158.jpg,8.9268484e-05,8.545057e-06,0.9915964,3.8623273e-07,2.3951361e-05,0.000109521505,0.00043235708,0.0003269091,0.006047078,0.001365656
5,p050,c9,img_5335.jpg,imgs/train/c9/img_5335.jpg,0.69793373,0.00429247,0.0005474528,0.06533994,0.0009017241,0.05261692,0.00020698289,0.013228233,0.13891137,0.026021164
6,p056,c3,img_13910.jpg,imgs/train/c3/img_13910.jpg,0.9758613,0.00020917617,2.2460272e-06,0.00011703679,7.758592e-05,0.00012574252,5.010382e-06,0.00043386623,0.003814096,0.019354105
7,p056,c2,img_4565.jpg,imgs/train/c2/img_4565.jpg,0.0018080535,0.00019138235,0.0628526,9.32238e-06,1.2170091e-05,0.002418459,0.00957062,9.385364e-05,0.874582,0.048461504
8,p016,c1,img_75830.jpg,imgs/train/c1/img_75830.jpg,3.219627e-06,0.9999857,3.1734448e-09,2.819642e-07,1.5153093e-08,1.7843429e-09,5.940597e-06,6.355143e-07,1.4132376e-06,2.8588368e-06
9,p016,c2,img_19501.jpg,imgs/train/c2/img_19501.jpg,6.332281e-05,9.510582e-06,0.99533314,2.1107148e-07,9.391956e-06,0.00010776206,0.00033683534,0.00013363737,0.002861757,0.0011444213
10,p041,c8,img_26709.jpg,imgs/train/c8/img_26709.jpg,0.00020808633,2.1440597e-05,0.00496968,1.0324889e-06,0.00012764575,5.7663263e-05,0.10408192,0.00011517919,0.88872373,0.001693646
11,p016,c2,img_85095.jpg,imgs/train/c2/img_85095.jpg,3.6449834e-05,6.685593e-06,0.9980148,2.2841567e-07,5.873539e-06,3.4849734e-05,0.00013999487,8.523025e-05,0.0011708554,0.0005050084
12,p016,c9,img_7533.jpg,imgs/train/c9/img_7533.jpg,0.0066419784,0.00021064628,2.1248777e-06,2.6368173e-08,8.5492917e-07,2.3064297e-06,2.9290428e-07,4.948191e-05,0.00050820655,0.9925841
13,p041,c5,img_55437.jpg,imgs/train/c5/img_55437.jpg,2.3878963e-05,7.556415e-09,2.386914e-06,1.5749937e-07,1.2299911e-06,0.9996126,2.3044392e-06,3.4246407e-06,0.0001099731,0.00024411148
14,p056,c2,img_27071.jpg,imgs/train/c2/img_27071.jpg,0.002045396,0.00034994702,0.60097015,7.1867275e-06,4.98513e-05,0.009398809,0.025265967,0.00013093649,0.32601982,0.03576199
15,p016,c0,img_83391.jpg,imgs/train/c0/img_83391.jpg,0.8172301,1.1954248e-05,5.1208076e-06,5.520397e-05,0.00012098778,0.0005616338,5.219964e-06,0.007045454,0.03298428,0.14198004
16,p041,c4,img_22041.jpg,imgs/train/c4/img_22041.jpg,0.0041809916,1.2000792e-05,1.2543392e-06,1.0255422e-06,0.9920608,1.0661491e-06,0.00027368823,4.8225734e-06,0.00064949,0.0028149374
17,p016,c2,img_2810.jpg,imgs/train/c2/img_2810.jpg,7.8563295e-05,5.2123714e-06,0.9960794,2.2442848e-07,1.5896117e-05,4.8876755e-05,0.00022959746,0.0001332473,0.0024865128,0.00092243415
18,p050,c8,img_83809.jpg,imgs/train/c8/img_83809.jpg,0.0695062,0.00021680628,0.00010356303,0.00227029,7.0121445e-05,0.03530384,0.00026102096,0.027824467,0.8580971,0.0063465857
19,p041,c3,img_85118.jpg,imgs/train/c3/img_85118.jpg,0.07883771,0.0001892423,3.6865757e-05,0.8954943,0.0009999406,0.0073642097,0.00013726256,0.0007505156,0.005002913,0.011187056
20,p016,c7,img_98101.jpg,imgs/train/c7/img_98101.jpg,9.095585e-07,3.686167e-07,7.417777e-07,1.8775746e-07,2.2444883e-08,9.3770905e-07,4.345079e-08,0.99996996,2.4940475e-05,1.9292831e-06
21,p041,c8,img_75090.jpg,imgs/train/c8/img_75090.jpg,0.00020789358,3.8761345e-07,0.0014844645,9.070732e-08,0.0018295201,8.028564e-06,0.043680448,0.00030542584,0.9493323,0.0031514247
22,p050,c5,img_47275.jpg,imgs/train/c5/img_47275.jpg,0.87708974,0.00058467983,0.00037521086,0.0007156836,5.70238e-05,0.06610767,3.161316e-05,0.000113012815,0.0005776301,0.054347795
23,p056,c6,img_24338.jpg,imgs/train/c6/img_24338.jpg,0.0037450234,0.09376552,2.7584314e-05,0.00018533164,0.00026539434,2.3407556e-05,0.77100366,9.43546e-05,0.12958987,0.0012998477
24,p056,c5,img_81599.jpg,imgs/train/c5/img_81599.jpg,0.0028041922,2.1054188e-05,1.7991666e-06,1.5616984e-05,8.94509e-07,0.9849074,4.7630797e-06,0.00012588761,0.0014092338,0.010709144
25,p056,c3,img_69197.jpg,imgs/train/c3/img_69197.jpg,0.11611931,0.036578972,2.6113566e-06,0.8357797,3.0542742e-05,0.00018849928,8.0404225e-06,0.0006623615,0.00017218666,0.010457862
26,p016,c3,img_20573.jpg,imgs/train/c3/img_20573.jpg,0.17820238,4.506617e-05,7.831576e-07,0.7969829,9.4543364e-05,0.0046758023,2.6450157e-06,0.000995547,0.008104898,0.0108955465
27,p016,c6,img_81036.jpg,imgs/train/c6/img_81036.jpg,0.00016470114,0.00011034389,3.8513896e-05,1.4071119e-06,0.00062115875,2.0043326e-05,0.6049029,0.00025323994,0.39300418,0.0008834725
28,p050,c7,img_33906.jpg,imgs/train/c7/img_33906.jpg,0.4293712,0.010581912,0.016988674,0.031588934,0.0011926333,0.23288007,0.0006117488,0.14297181,0.03520355,0.09860949
29,p041,c7,img_75299.jpg,imgs/train/c7/img_75299.jpg,0.00059996085,2.6425064e-06,0.0007474306,2.8570723e-06,0.00024010992,8.770421e-05,0.00015235468,0.9698747,0.026811128,0.001481199
30,p050,c2,img_47023.jpg,imgs/train/c2/img_47023.jpg,0.15724283,0.013480911,0.33316308,0.007439231,0.053366292,0.083637,0.19912873,0.0326759,0.09827786,0.021588102
