,subject,classname,img,imgpath,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,p050,c9,img_37057.jpg,imgs/train/c9/img_37057.jpg,0.1540586,0.057938177,0.06879642,0.036633212,0.1646167,0.060282983,0.23504117,0.0025547268,0.18579519,0.034282785
1,p056,c1,img_70214.jpg,imgs/train/c1/img_70214.jpg,0.0013517598,0.9580131,0.00442531,0.0022396254,0.00017438702,0.0010979734,0.0070954044,0.01596505,0.007272529,0.0023649668
2,p050,c7,img_89317.jpg,imgs/train/c7/img_89317.jpg,0.0016976745,0.07816044,0.80772734,0.00028063127,0.00017088075,0.0030810372,0.018732535,0.025696134,0.0371969,0.02725647
3,p041,c1,img_9714.jpg,imgs/train/c1/img_9714.jpg,0.043608744,0.8480451,0.003310748,0.013077097,0.010166045,0.0030607693,0.012688302,0.004282911,0.020751055,0.04100913
4,p016,c2,img_46158.jpg,imgs/train/c2/img_46158.jpg,0.0026586524,0.03932615,0.54540306,0.00082459446,0.048793472,0.0018336156,0.16006681,0.1562011,0.038372613,0.0065199477
5,p050,c9,img_5335.jpg,imgs/train/c9/img_5335.jpg,0.043777082,0.11481622,0.05706866,0.018765207,0.021344922,0.019908886,0.5041824,0.0009395677,0.21208818,0.007108802
6,p056,c3,img_13910.jpg,imgs/train/c3/img_13910.jpg,0.3181562,0.3035433,0.05838519,0.13026465,0.013490178,0.030766066,0.028401257,0.0148003865,0.027051331,0.07514149
7,p056,c2,img_4565.jpg,imgs/train/c2/img_4565.jpg,0.00065272703,0.0047313836,0.1589094,8.728831e-05,0.00071945525,0.00043047126,0.010815882,0.76610273,0.05089309,0.006657663
8,p016,c1,img_75830.jpg,imgs/train/c1/img_75830.jpg,0.0010020722,0.41505954,0.016553054,0.00045799933,0.005074312,0.00034617895,0.5284772,0.0192519,0.011338453,0.0024393331
9,p016,c2,img_19501.jpg,imgs/train/c2/img_19501.jpg,0.009134927,0.07202524,0.4584269,0.0024750235,0.07924585,0.0054769246,0.14036503,0.14765248,0.07131823,0.013879411
10,p041,c8,img_26709.jpg,imgs/train/c8/img_26709.jpg,0.0057248943,0.0003733698,0.36717597,0.0015148865,0.005917526,0.06464021,0.004445844,0.080812275,0.45352173,0.015873317
11,p016,c2,img_85095.jpg,imgs/train/c2/img_85095.jpg,0.006637564,0.083320245,0.4174753,0.0031511094,0.09161017,0.0028674274,0.19798175,0.12948737,0.057299025,0.010170155
12,p016,c9,img_7533.jpg,imgs/train/c9/img_7533.jpg,0.019232957,0.010509492,0.011717724,0.020670023,0.84099996,0.0012145785,0.0087893745,0.017033845,0.015976863,0.053855162
13,p041,c5,img_55437.jpg,imgs/train/c5/img_55437.jpg,2.365932e-05,7.778868e-09,1.7307067e-07,2.8763216e-05,1.7065402e-05,0.99980646,1.9720208e-08,1.7064202e-08,1.5444515e-07,0.00012381427
14,p056,c2,img_27071.jpg,imgs/train/c2/img_27071.jpg,0.0029362298,0.0090848105,0.35825992,0.00045213464,0.006092393,0.0019714397,0.07338228,0.39069334,0.15014987,0.0069775362
15,p016,c0,img_83391.jpg,imgs/train/c0/img_83391.jpg,0.42100132,0.0031977973,0.0019393837,0.03367542,0.4060256,0.001168384,0.0007456955,0.0027340397,0.018599592,0.110912725
16,p041,c4,img_22041.jpg,imgs/train/c4/img_22041.jpg,0.024061382,1.8402503e-05,1.405141e-05,0.012688033,0.95744526,0.00032388177,1.4187571e-05,6.7237365e-06,4.640259e-05,0.005381661
17,p016,c2,img_2810.jpg,imgs/train/c2/img_2810.jpg,0.0027862159,0.024546565,0.62115073,0.0006518962,0.045552462,0.0021837736,0.09195278,0.17086837,0.033702154,0.006604996
18,p050,c8,img_83809.jpg,imgs/train/c8/img_83809.jpg,0.15040323,0.036620438,0.04825452,0.018576857,0.02925738,0.096148364,0.07378194,0.0068758735,0.4559146,0.08416677
19,p041,c3,img_85118.jpg,imgs/train/c3/img_85118.jpg,0.345171,0.0001487133,8.25286e-06,0.44629613,0.18925041,0.00092835084,8.065528e-06,2.3188347e-06,8.366097e-05,0.018103143
20,p016,c7,img_98101.jpg,imgs/train/c7/img_98101.jpg,0.00070529216,0.023336288,0.119655155,0.00018405622,0.004932021,0.0015643436,0.10412095,0.723101,0.015235059,0.007165711
21,p041,c8,img_75090.jpg,imgs/train/c8/img_75090.jpg,0.047498457,0.002352363,0.3913241,0.0058831773,0.027210975,0.12170382,0.050351433,0.039651815,0.2580021,0.056021694
22,p050,c5,img_47275.jpg,imgs/train/c5/img_47275.jpg,0.008280397,0.00027310738,0.006644229,0.0010419482,0.003713819,0.96490043,0.0026233338,0.00014878371,0.0018668771,0.010507043
23,p056,c6,img_24338.jpg,imgs/train/c6/img_24338.jpg,0.010953271,0.22150229,0.14161699,0.0058851787,0.011141677,0.004251546,0.24457625,0.27077746,0.077914126,0.011381275
24,p056,c5,img_81599.jpg,imgs/train/c5/img_81599.jpg,0.025863715,0.012040089,0.04498051,0.020593511,0.012580267,0.7462837,0.0034443282,0.021903524,0.022248711,0.090061635
25,p056,c3,img_69197.jpg,imgs/train/c3/img_69197.jpg,0.026071412,0.2692013,0.26416546,0.07274998,0.011872617,0.07110658,0.024896914,0.16103417,0.067630105,0.03127143
26,p016,c3,img_20573.jpg,imgs/train/c3/img_20573.jpg,0.21694759,0.002931573,0.0013496884,0.4614779,0.24709506,0.0035349499,0.0012553015,0.0009340223,0.00992588,0.054547977
27,p016,c6,img_81036.jpg,imgs/train/c6/img_81036.jpg,6.367093e-05,0.00493843,0.0041620205,2.9989922e-05,0.0033726213,3.5129913e-05,0.97745174,0.001716376,0.008090244,0.00013972881
28,p050,c7,img_33906.jpg,imgs/train/c7/img_33906.jpg,0.0027291775,0.13992453,0.7236468,0.000455194,0.00034298492,0.004297464,0.036415104,0.02684495,0.0344216,0.030922247
29,p041,c7,img_75299.jpg,imgs/train/c7/img_75299.jpg,0.0027168123,0.0007118796,0.07794912,0.00075994205,0.0022125014,0.009375792,0.00073300826,0.87473345,0.022053132,0.008754402
30,p050,c2,img_47023.jpg,imgs/train/c2/img_47023.jpg,0.030658366,0.031619858,0.49608225,0.00407558,0.036636136,0.010236611,0.21398063,0.026797587,0.13472772,0.015185248
